position,person,personID,start,end
President,Emomali Rahmon,Q57366,1994-11-19,
Prime Minister,Kokhir Rasulzoda,Q15222839,2013-11-23,
First Deputy Prime Minister,Davlatali Said,Q25612207,2013-11-19,
Deputy Prime Minister,Usmonali Usmonov,Q25612364,2020-11-03,
Deputy Prime Minister,Matloubkhon Sattoriyon,Q110159963,2020-12-10,
Deputy Prime Minister,Ziyozoda Sulaimon Rizoi,Q110159626,2022-01-27,
Minister of Agriculture,Karimzoda Sadi Gafor,Q110790121,2022-01-27,
Minister of Culture,Davlatzoda Zulfiya Davlat,Q86724010,2020-01-24,
Minister of Defence,Sherali Mirzo,Q20611394,2013-11-20,
Minister of Economic Development and Trade,Zavkizoda Zavki Amin,Q110160067,2020-02-03,
Minister of Education and Science,Rahimjon Saidzoda,Q110976749,2022-02-21,
Minister of Energy and Water Resources,Daler Jumayev,Q110160952,2020-12-10,
Minister of Finance,Faiziddin Kahhorzoda,Q110161251,2018-01-19,
Minister of Foreign Affairs,Sirodjidin Aslov,Q18198123,2013-11-29,
Minister of Health,Abdullozoda Jamoliddin Abdullo,Q110159906,2020-05-05,
Minister of Industry and New Technologies,Sherali Kabirov,Q110160082,2020-12-10,
Minister of Internal Affairs,Ramazon Rahimov,Q7289157,2012-01-05,
Minister of Justice,Ashuriyon Muzaffar Qurbonmuhammad,Q110159406,2020-01-21,
"Minister of Labour, Migration and Population Employment",Shirin Amonzoda,Q110160957,2020-12-10,
Minister of Transport,Azim Ibrohim,Q20604614,2020-08-31,
Chairman of the State Committee for Investments and State Property Management,Sadi Kodirzoda,Q110161154,2020-12-04,
Chairman of the State Committee for Land Management and Geodesy,Orif Khojazoda,Q110161208,2020-11-03,
Chairman of the State Committee for National Security,Saimumin Yatimov,Q4539588,2010-09-02,
Speaker of the National Assembly,Rustam Emomali,Q24258837,2020-04-17,
Speaker of the Assembly of Representatives,Zokirzoda Mahmadtohir,Q110161298,2020-03-17,
Governor of the National Bank,Kholiqzoda Hokim Hikmatullo,Q110161368,2020-11-20,
Chief of the General Staff,Emomali Sobirzoda,Q56702398,2015-11-24,
